Legal Term,Definition
12개월 기대신용손실,"보고기간말 후 12개월 내에 발생 가능한 금융상품의 채무불이행 사건으로 인한 기대신용손실을 나타내는, 전체기간 기대신용손실의 일부"
거래원가,"금융자산이나 금융부채의 취득, 발행, 처분과 직접 관련된 증분원가(문단 B5.4.8 참조). 증분원가는 그 금융상품의 취득, 발행, 처분이 없었다면 생기지 않았을 원가를 말한다."
금융보증계약,채무상품의 최초 계약조건이나 변경된 계약조건에 따라 지급기일에 특정 채무자가 지급하지 못하여 보유자가 입은 손실을 보상하기 위해 발행자가 특정 금액을 지급하여야 하는 계약
금융자산이나 금융부채의 상각후원가,"최초 인식시점에 측정한 금융자산이나 금융부채에서 상환된 원금을 차감하고, 최초 인식금액과 만기금액의 차액에 유효이자율법을 적용하여 계산한 상각누계액을 가감한 금액. 금융자산의 경우에 해당 금액에서 손실충당금을 조정한 금액"
금융자산의 총 장부금액,손실충당금을 조정하기 전 금융자산의 상각후원가
기대신용손실,개별 채무불이행 발생 위험으로 가중평균한 신용손실
계약자산,기업회계기준서 제1115호 ‘고객과의 계약에서 생기는 수익’에 따른 권리. 손상차손(환입)의 인식과 측정은 이 기준서에 따라 회계처리한다.
단기매매항목,다음 중 하나에 해당하는 금융자산이나 금융부채 ⑴ 주로 단기간에 매각하거나 재매입할 목적으로 취득하거나 부담한다. ⑵ 최초 인식시점에 공동으로 관리하는 특정 금융상품 포트폴리오의 일부로 운용 형태가 단기적 이익 획득 목적이라는 증거가 있다. ⑶ 파생상품이다(다만 금융보증계약인 파생상품이나 위험회피수단으로 지정되고 위험회피에 효과적인 파생상품은 제외한다).
당기손익-공정가치 측정 금융부채,다음 중 하나의 조건을 충족하는 금융부채 ⑴ 단기매매항목의 정의를 충족한다. ⑵ 문단 4.2.2 또는 4.3.5에 따라 최초 인식시점에 당기손익-공정가치 측정 항목으로 지정한다. ⑶ 문단 6.7.1에 따라 최초 인식시점 또는 후속적으로 당기손익-공정가치 측정 항목으로 지정한다.
배당,지분상품의 보유자가 특정 종류의 자본의 보유비율에 비례하여 받는 이익의 분배금
변경손익,"재협상되거나 변경된 계약상 현금흐름을 반영하기 위하여 금융자산의 총 장부금액을 조정함에 따라 발생하는 금액. 재협상되거나 변경된 금융자산의 기대존속기간에 기대 미래 현금 지급액이나 수취액을 해당 금융자산의 최초 유효이자율(또는 취득시 신용이 손상되어 있는 금융자산은 신용조정 유효이자율) 또는 적절하다면 문단 6.5.10에 따라 계산한 수정 유효이자율로 할인한 현재가치로 금융자산의 총 장부금액을 재계산한다. 금융자산의 기대현금흐름을 추정할 때 해당 금융상품의 모든 계약조건(예: 중도상환옵션, 콜옵션, 이와 비슷한 옵션)을 고려 하지만 기대신용손실은 고려하지 아니한다. 그러나 취득시 신용이 손상되어 있는 금융자산에 대한 기대현금흐름을 추정할 때는 기대신용손실을 고려하고 최초의 신용조정 유효이자율을 계산할 때 고려하였던 최초의 기대신용손실도 고려한다."
손상차손(환입),제5.5절의 손상 요구사항을 적용하여 발생하며 문단 5.5.8에 따라 당기손익으로 인식하는 손익
손실충당금,"⑴ 문단 4.1.2에 따라 측정하는 금융자산, 리스채권, 계약자산의 기대신용손실에 대한 충당금 ⑵ 문단 4.1.2A에 따라 측정하는 금융자산의 누적손상액 ⑶ 대출약정과 금융보증계약의 기대신용손실에 대한 충당부채"
신용손실,"계약에 따라 지급받기로 한 모든 계약상 현금흐름과 수취할 것으로 예상하는 모든 계약상 현금흐름의 차이(모든 현금 부족액)를 최초 유효이자율(또는 취득시 신용이 손상되어 있는 금융자산은 신용 조정 유효이자율)로 할인한 금액. 유효이자율을 계산할 때 해당 금융상품의 기대존속기간에 걸친 모든 계약조건(예: 중도상환옵션, 연장옵션, 콜옵션, 이와 비슷한 옵션)을 고려하여 현금흐름을 추정한다. 담보물의 처분에 따른 현금흐름이나 계약조건에 포함된 그 밖의 신용보강도 현금흐름을 고려할 때 포함한다. 금융상품의 기대존속기간은 신뢰성 있게 추정할 수 있다고 본다. 그러나 금융상품의 기대존속기간을 신뢰성 있게 추정할 수 없는 드문 경우에는 해당 금융상품의 남은 계약기간을 사용한다."
신용이 손상된 금융자산,"금융자산의 추정미래현금흐름에 악영향을 미치는 하나 이상의 사건이 생긴 경우에 해당 금융자산의 신용이 손상된 것이다. 금융자산의 신용이 손상된 증거는 다음의 사건에 대한 관측 가능한 정보를 포함한다. ⑴ 발행자나 차입자의 유의적인 재무적 어려움 ⑵ 채무불이행이나 연체 같은 계약 위반 ⑶ 차입자의 재무적 어려움에 관련된 경제적이나 계약상 이유로 당초 차입조건의 불가피한 완화 ⑷ 차입자의 파산 가능성이 높아지거나 그 밖의 재무구조조정 가능성이 높아짐 ⑸ 재무적 어려움으로 해당 금융자산에 대한 활성시장의 소멸 ⑹ 이미 발생한 신용손실을 반영하여 크게 할인한 가격으로 금융자산을 매입하거나 창출하는 경우 신용손상을 일으킨 단일 사건을 특정하여 식별하는 것이 불가능할 수 있으며, 오히려 여러 사건의 결합된 효과가 신용손상을 초래할 수도 있다."
신용조정 유효이자율,"취득시 신용이 손상되어 있는 금융자산의 기대존속기간에 추정 미래현금지급액이나 수취액의 현재가치를 해당 금융자산의 상각후원가와 정확히 일치시키는 이자율. 신용조정 유효이자율을 계산할 때 해당 금융상품의 모든 계약조건(예: 중도상환옵션, 콜옵션, 이와 비슷한 옵션)과 기대신용손실을 고려하여 기대현금흐름을 추정한다. 유효이자율의 주요 구성요소에 해당하는 계약 당사자 간 지급하거나 수취하는 수수료와 포인트(문단 B5.4.1~B5.4.3 참조), 거래원가, 그 밖의 모든 할증액과 할인액을 반영하여 신용조정 유효이자율을 계산한다. 비슷한 금융상품 집합의 현금흐름과 기대존속기간은 신뢰성 있게 추정할 수 있다고 본다. 그러나 금융상품(또는 비슷한 금융상품의 집합)의 현금흐름이나 남은 존속기간을 신뢰성 있게 추정할 수 없는 드문 경우에는 해당 금융상품(또는 비슷한 금융상품의 집합)에 대한 전체 계약기간의 계약상 현금흐름을 사용하여 유효이자율을 구한다."
연체,계약상 지급기일이 도래하였지만 계약상대방이 지급하기로 한 금액을 지급하지 못한 경우에 해당 금융자산은 연체된 것이다.
예상거래,"이행해야 하는 구속력은 없으나, 앞으로 발생할 것으로 예상되는 거래"
유효이자율,"금융자산이나 금융부채의 기대존속기간에 추정 미래현금지급액이나 수취액의 현재가치를 금융자산의 총 장부금액이나 금융부채의 상각후원가와 정확히 일치시키는 이자율. 유효이자율을 계산할 때 해당 금융상품의 모든 계약조건(예: 중도상환옵션, 연장옵션, 콜옵션, 이와 비슷한 옵션)을 고려하여 기대현금흐름을 추정한다. 그러나 기대신용손실은 고려하지 아니한다. 유효이자율의 주요 구성요소에 해당하는 계약 당사자 간 지급하거나 수취하는 수수료와 포인트(문단 B5.4.1~B5.4.3 참조), 거래원가, 그 밖의 모든 할증액과 할인액을 반영하여 유효이자율을 계산한다. 비슷한 금융상품 집합의 현금흐름과 기대존속기간은 신뢰성 있게 추정할 수 있다고 본다. 그러나 금융상품(또는 비슷한 금융상품의 집합)에 대한 현금흐름이나 기대존속기간을 신뢰성 있게 추정할 수 없는 드문 경우에는 전체 계약기간의 계약상 현금흐름을 사용하여 유효이자율을 구한다."
유효이자율법,금융자산이나 금융부채의 상각후원가를 계산하고 관련 기간에 이자수익이나 이자비용을 당기손익으로 인식하고 배분하는 방법
위험회피비율,상대적인 가중치로 표현되는 위험회피대상항목과 위험회피수단 각각의 수량 사이의 관계
전체기간 기대신용손실,금융상품의 기대존속기간에 발생할 수 있는 모든 채무불이행 사건에 따른 기대신용손실
정형화된 매입 또는 매도,관련 시장의 규정이나 관행에 따라 일반적으로 설정된 기간 내에 해당 금융상품을 인도하는 계약조건에 따른 금융자산의 매입 또는 매도
재분류일,금융자산의 재분류를 초래하는 사업모형의 변경 후 첫 번째 보고기간의 첫 번째 날
제거,이미 인식한 금융자산이나 금융부채를 재무상태표에서 삭제하는 것
취득시 신용이 손상되어 있는 금융자산,최초 인식시점에 최초 발생시점이나 매입할 때 신용이 손상되어 있는 금융자산
